Fichier,Nombre_generations,Max_gain,Temps_execution
wallet1.csv,1,356,0.001001119613647461
wallet1.csv,5,1118,0.0010020732879638672
wallet1.csv,10,2093,0.002518892288208008
wallet1.csv,15,3042,0.0030040740966796875
wallet1.csv,20,4053,0.00452113151550293
wallet1.csv,25,4963,0.005004167556762695
wallet1.csv,30,5948,0.0071201324462890625
wallet1.csv,35,6883,0.008533239364624023
wallet1.csv,40,7880,0.010060787200927734
wallet1.csv,45,8841,0.010512828826904297
wallet1.csv,50,9766,0.010532140731811523
wallet1.csv,55,10563,0.012666463851928711
wallet1.csv,60,11370,0.014007568359375
wallet1.csv,65,11482,0.014528751373291016
wallet1.csv,70,11467,0.01567697525024414
wallet1.csv,75,11483,0.016048908233642578
wallet1.csv,80,11481,0.01786327362060547
wallet1.csv,85,11476,0.01894092559814453
wallet1.csv,90,11484,0.02372598648071289
wallet1.csv,95,11474,0.02864241600036621
wallet1.csv,100,11484,0.02604389190673828
wallet2.csv,1,167,0.0
wallet2.csv,5,544,0.0020020008087158203
wallet2.csv,10,1009,0.0030035972595214844
wallet2.csv,15,1504,0.0032320022583007812
wallet2.csv,20,1954,0.005004405975341797
wallet2.csv,25,2424,0.0063741207122802734
wallet2.csv,30,2895,0.007524967193603516
wallet2.csv,35,3363,0.007722377777099609
wallet2.csv,40,3835,0.009525775909423828
wallet2.csv,45,4303,0.009513139724731445
wallet2.csv,50,4746,0.011529684066772461
wallet2.csv,55,5245,0.011812925338745117
wallet2.csv,60,5725,0.012131929397583008
wallet2.csv,65,6194,0.015331745147705078
wallet2.csv,70,6664,0.015518665313720703
wallet2.csv,75,7132,0.017089366912841797
wallet2.csv,80,7599,0.01788330078125
wallet2.csv,85,8063,0.020792007446289062
wallet2.csv,90,8554,0.019547462463378906
wallet2.csv,95,9005,0.02123093605041504
wallet2.csv,100,9471,0.0218198299407959
wallet3.csv,1,876,0.0
wallet3.csv,5,2665,0.002002239227294922
wallet3.csv,10,5138,0.002147674560546875
wallet3.csv,15,7518,0.004410743713378906
wallet3.csv,20,8682,0.0045185089111328125
wallet3.csv,25,8683,0.005005598068237305
wallet3.csv,30,8685,0.0065097808837890625
wallet3.csv,35,8684,0.009525775909423828
wallet3.csv,40,8684,0.009541511535644531
wallet3.csv,45,8685,0.009794235229492188
wallet3.csv,50,8685,0.01106119155883789
wallet3.csv,55,8684,0.011417627334594727
wallet3.csv,60,8682,0.012579917907714844
wallet3.csv,65,8685,0.015008211135864258
wallet3.csv,70,8684,0.01604771614074707
wallet3.csv,75,8684,0.015999794006347656
wallet3.csv,80,8684,0.01790642738342285
wallet3.csv,85,8684,0.017037391662597656
wallet3.csv,90,8685,0.019665956497192383
wallet3.csv,95,8685,0.021379709243774414
wallet3.csv,100,8682,0.023010969161987305
wallet4.csv,1,147,0.0
wallet4.csv,5,530,0.002003192901611328
wallet4.csv,10,990,0.0020012855529785156
wallet4.csv,15,1417,0.0038728713989257812
wallet4.csv,20,1866,0.005006313323974609
wallet4.csv,25,2330,0.0055081844329833984
wallet4.csv,30,2778,0.007664680480957031
wallet4.csv,35,3220,0.008511066436767578
wallet4.csv,40,3669,0.008898735046386719
wallet4.csv,45,3948,0.010578393936157227
wallet4.csv,50,3947,0.010513067245483398
wallet4.csv,55,3948,0.012516498565673828
wallet4.csv,60,3938,0.012004613876342773
wallet4.csv,65,3949,0.013006925582885742
wallet4.csv,70,3948,0.015951871871948242
wallet4.csv,75,3947,0.016063690185546875
wallet4.csv,80,3947,0.019047260284423828
wallet4.csv,85,3942,0.022585391998291016
wallet4.csv,90,3949,0.02029252052307129
wallet4.csv,95,3940,0.02024674415588379
wallet4.csv,100,3948,0.022754907608032227
